Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Брайан Буччеллато,Френсіс Манапул",Флеш. Книга 2. Революція бунтарів (мінімальний брак),Українська мова,,,,РМ,2018.0,9789669172471.0,Комікси
"Джефф Джонс,Джим Лі",Ліга справедливості. Книга 3. Трон Атлантиди (мінімальний брак),Українська мова,,,,РМ,2018.0,9789669172617.0,Комікси
"Джефф Джонс,Джим Лі",Ліга справедливості. Книга 2. Шлях злочинця (мінімальний брак),Українська мова,,,,РМ,2017.0,9789669171801.0,Комікси
Брайан Аззарелло,Бетмен. Проклятий,Українська мова,,,,Видавництво РМ,2023.0,9786178280727.0,Комікси
"Браян Герберт,Кевін Джей Андерсон",Дюна. Дім Атрідів. Книга 3,Українська мова,,,,Видавництво РМ,2023.0,9786178280031.0,Комікси
"Браян Герберт,Кевін Джей Андерсон",Дюна. Дім Атрідів. Книга 2,Українська мова,,,,Видавництво РМ,2023.0,9786178280024.0,Комікси
"Браян Герберт,Кевін Джей Андерсон",Дюна. Дім Атрідів. Книга 1,Українська мова,,,,Видавництво РМ,2023.0,9786178280208.0,Комікси
"Джоді Гаузер,Стефано Мартіно,Кіт Шампань,Лорен Аффе,Нейт Пайкос",Stranger Things. Книга 1. По той бік,Українська мова,,,,Видавництво РМ,2023.0,9786178280390.0,Комікси
"Джоді Гаузер,Едґар Салазар,Кіт Шампань,Марісса Луїс,Нейт Пайкос",Stranger Things. Книга 4. Табір «Знайхідка»,Українська мова,,,,Видавництво РМ,2023.0,9786178280017.0,Комікси
Люк Пірсон,Гільда і кам'яний ліс. Книга 5,Українська мова,,,,Артбукс,2021.0,9786177940028.0,Комікси
Ірина Хараб,Сіра Долина. Туман згущується. Том 3,Українська мова,,,,ТУТ,2022.0,9786178132002.0,Комікси
"Микола Гоголь,Костянтин Сулима",Тарас Бульба (комікс за Миколою Гоголем),Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2022.0,9786175852255.0,Комікси
Ірина Хараб,Сіра Долина. Рєальні монстри. Книга 2 (лімітована),Українська мова,,,,ТУТ,2021.0,9786179519710.0,Комікси
Дьоміна А.О.,Академія духів природи.  Болібошка,Українська мова,,,,ТУТ,2023.0,9786178132101.0,Комікси
Роман Крижанівський,Книголюбчики 2. Легенди дикого краю (на книгах),Українська мова,,,,ТУТ,2023.0,9786178132163.0,Комікси
Роман Крижанівський,Книголюбчики 2. Легенди дикого краю (на драконі),Українська мова,,,,ТУТ,2023.0,9786178132163.0,Комікси
О. Декань,Кайдашева сім'я проти зомбі (чорна),Українська мова,,,,ТУТ,2021.0,9789669797759.0,Комікси
Скотті Янґ,Мідлвест,Українська мова,,,,ТУТ,2022.0,9786178056063.0,Комікси
Ірина Хараб,Сіра Долина. Потойбіччя (4),Українська мова,,,,ТУТ,2022.0,9786178132033.0,Комікси
Нейтан В. Пайл,Химерніша планета. Книга друга,Українська мова,,,,Mal'opus,2022.0,9786177756568.0,Комікси
Браян Лі О'Меллі,Скотт Пілігрим. Том 4. Скотт Пілігрим береться за розум,Українська мова,,,,Mal'opus,2023.0,9786177756629.0,Комікси
Тебо,Аліса в Країні Мавп. Том 1,Українська мова,,,,Артбукс,2021.0,9786177940592.0,Комікси
Алекс Аліс,Зоряний замок. 1869: Підкорення космосу. Том 1,Українська мова,,,,Артбукс,2020.0,9786177940035.0,Комікси
"Дені-П’єр Філіппі,Сільвіо Камбоні",Незвичайна подорож. Том 1,Українська мова,,,,Артбукс,2022.0,9786177940745.0,Комікси
Джо Тодд-Стентон,Марсі та загадка Сфінкса,Українська мова,,,,Артбукс,2020.0,9786177688111.0,Комікси
"Жанна Девідсон,Мелані Вільямс",Біллі та малі монстри. Монстри у темряві,Українська мова,,,,Артбукс,2022.0,9786175230039.0,Комікси
"Мелані Вільямс,Жанна Девідсон",Біллі та малі монстри. Монстри у школі,Українська мова,,,,Артбукс,2022.0,9786175230046.0,Комікси
Серджо Топпі,Шараз-Де,Українська мова,,,,Mal'opus,2021.0,9786177756421.0,Комікси
Дисней книги,Коміксни,Українська мова,,,,Ранок,2023.0,9786170964700.0,Комікси
Нік Еліопулос,MINECRAFT. Моби рулять!,Українська мова,,,,Артбукс,2023.0,9786175230299.0,Комікси
Кетрінн М. Валенте,MINECRAFT. Край,Українська мова,,,,Артбукс,2021.0,9786177940295.0,Комікси
Нейтан В. Пайл,Химерна планета,Українська мова,,,,Mal'opus,2021.0,9786177756377.0,Комікси
"Алеш Кот,Пйотр Ковальський",Bloodborne. Том 1. Глибина сну,Українська мова,,,,Mal'opus,2021.0,9786177756469.0,Комікси
