Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Полулях Наталья Сергеевна,Мир вокруг нас,,,,,Ранок,,9789667465933.0,Книжки з наліпками
Торджман Н.,Дивовижні птахи,Українська,,,,Vivat,2019.0,9789669428899.0,Енциклопедії для дітей
,Кошки. Очем говорят животные,,,,,Перо,2019.0,9789664629666.0,Енциклопедії для дітей
Баум Л.Ф.,Чари країни Оз,Українська мова,,,,Фоліо,2019.0,9789660385252.0,Класика дитячої літератури
Щербаков,Бізнесмаги. Як стати справжнім чарівником,Українська,,,,Моноліт-Bizz,2021.0,9789662236057.0,Повісті. Оповідання.Проза
,Велика книжка. Розвивальні наліпки. Розумні завдання. Птахи,,,,,Кристал Бук,2017.0,9789669366573.0,Дозвілля і творчість дітей
,Велика книжка. Розвивальні наліпки. Розумнi завдання. Герої казок,Українська,,,,Кристал Бук,2017.0,9789669363091.0,Дозвілля і творчість дітей
Андерсен Х.,Снігова королева,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2020.0,9786175850305.0,Казки для дітей
Смирнова К.,Альбом друзів. Friends' book,Українська мова,,,,УЛА,2017.0,9789662843958.0,Творчість дітям 7-9 років
,Я вчуся з наліпками. Пам’ять та увага,Українська мова,,,,УЛА,,9789662843804.0,Книжки з наліпками
,Первые многоразовые наклейки. Цифры от 0 до 10,,,,,Кристал Бук,,9789669364883.0,Книжки з наліпками
Бачинский,Детективи з Артеку. Таємниці Кам’яних Могил,Українська,,,,Видавництво Старого Лева,2017.0,9786176794134.0,Детективи для дітей
Кузякін К.,Біла трішки чорна пречорна книжка,Українська,,,,Vivat,2017.0,9786176908456.0,Пригоди. Історії. Оповідання
Татуся Бо,Засиналочки,Українська,,,,Vivat,2017.0,9786176907091.0,Вірші для дітей
,Воины 3+ Энциклопедия для малышей,,,,,Vivat,,9786177269679.0,Енциклопедії для дітей
Иаддаден Люк,Українська поезія дітям (ШБ),Українська мова,,,,Фоліо,2015.0,9789660371767.0,Шкільна бібліотека дітям 9-12 років
Паар М.,Тоня Ґлімердал,Українська мова,,,,Теза,2009.0,9789664211465.0,Повісті. Оповідання.Проза
,Вчимося лічити швидко. Вирази та рівності 1 кл,,,,,УЛА,2016.0,9789662842265.0,"Математика, рахування"
Пауль Маар,Китобус або нові цятки для Суботика Кн.3 (Пригоди Суботика),,,,,Теза,2016.0,9789664211939.0,Повісті. Оповідання.Проза
Кременчуцкая Ноа,Подорож Україною. Літо (Виммельбухи),Українська,,,,Априори-пресс,,9789665003632.0,Віммельбухи
Марія Павленко,Русалонька із 7-В Кн. 5 Дуже морська історія,,,,,Теза,2013.0,9789664211373.0,Повісті. Оповідання.Проза
,Сьогодні йду я сам до туалету (укр),Українська,,,,Дж. Дж. Агенція ГМБХ Україна,2011.0,9789662670073.0,Дорослішання. Статеве виховання
,Розумне малятко. У морі,Українська,,,,УЛА,2016.0,9789662843224.0,Дозвілля і творчість дітей
,Розумне малятко. У лісі,Українська,,,,УЛА,2016.0,9789662843217.0,Дозвілля і творчість дітей
